3gram,frequency
"('summarize_code()_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",58
"('summarize_code()_valid', 'list_variables()_valid', 'check_pattern(null_deref)_valid')",58
"('check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid', 'summarize_code()_valid')",57
"('check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid', 'check_pattern(use_after_free)_valid')",57
"('check_pattern(buffer_overflow)_valid', 'list_functions()_valid', 'summarize_code()_valid')",57
"('list_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_variables()_valid')",56
"('check_pattern(use_after_free)_valid', 'list_freed_variables()_valid', 'list_null_assigned_variables()_valid')",56
"('list_functions()_valid', 'check_pattern(null_deref)_valid', 'list_null_assigned_variables()_valid')",56
"('list_functions()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",56
"('list_variables()_valid', 'list_freed_variables()_valid', 'check_pattern(use_after_free)_valid')",55
"('summarize_code()_valid', 'list_variables()_valid', 'check_pattern(use_after_free)_valid')",55
"('check_pattern(use_after_free)_valid', 'list_freed_variables()_valid', 'check_pattern(null_deref)_valid')",55
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'list_variables()_valid')",55
"('check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",55
"('list_functions()_valid', 'list_null_assigned_variables()_valid', 'summarize_code()_valid')",54
"('list_variables()_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",54
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'list_functions()_valid')",52
"('list_null_assigned_variables()_valid', 'list_freed_variables()_valid', 'check_pattern(null_deref)_valid')",52
"('list_freed_variables()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(null_deref)_valid')",52
"('list_freed_variables()_valid', 'list_functions()_valid', 'summarize_code()_valid')",52
"('list_functions()_valid', 'list_variables()_valid', 'check_pattern(buffer_overflow)_valid')",51
"('list_functions()_valid', 'check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid')",51
"('check_pattern(null_deref)_valid', 'list_functions()_valid', 'list_null_assigned_variables()_valid')",51
"('summarize_code()_valid', 'list_variables()_valid', 'list_variables()_valid')",50
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'check_pattern(use_after_free)_valid')",50
"('list_functions()_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",49
"('list_freed_variables()_valid', 'check_pattern(null_deref)_valid', 'list_functions()_valid')",49
"('check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid', 'list_functions()_valid')",49
"('list_freed_variables()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid')",49
"('check_pattern(null_deref)_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",48
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",48
"('check_pattern(use_after_free)_valid', 'list_variables()_valid', 'list_freed_variables()_valid')",48
"('list_null_assigned_variables()_valid', 'check_pattern(null_deref)_valid', 'list_freed_variables()_valid')",47
"('check_pattern(null_deref)_valid', 'summarize_code()_valid', 'check_pattern(use_after_free)_valid')",47
"('check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid', 'list_freed_variables()_valid')",47
"('check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid', 'list_null_assigned_variables()_valid')",47
"('check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid', 'check_pattern(null_deref)_valid')",46
"('list_functions()_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",46
"('check_pattern(null_deref)_valid', 'list_null_assigned_variables()_valid', 'list_freed_variables()_valid')",46
"('list_freed_variables()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",46
"('list_functions()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",46
"('list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",46
"('list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",45
"('check_pattern(null_deref)_valid', 'list_variables()_valid', 'list_variables()_valid')",45
"('check_pattern(use_after_free)_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",45
"('check_pattern(null_deref)_valid', 'list_variables()_valid', 'list_freed_variables()_valid')",45
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",44
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'list_freed_variables()_valid')",44
"('list_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_functions()_valid')",44
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",44
"('check_pattern(buffer_overflow)_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",44
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid')",43
"('check_pattern(use_after_free)_valid', 'list_variables()_valid', 'list_functions()_valid')",43
"('list_freed_variables()_valid', 'check_pattern(null_deref)_valid', 'list_null_assigned_variables()_valid')",43
"('summarize_code()_valid', 'list_variables()_valid', 'list_freed_variables()_valid')",43
"('list_null_assigned_variables()_valid', 'list_freed_variables()_valid', 'check_pattern(use_after_free)_valid')",42
"('summarize_code()_valid', 'check_pattern(null_deref)_valid', 'list_variables()_valid')",42
"('check_pattern(use_after_free)_valid', 'list_variables()_valid', 'list_variables()_valid')",42
"('summarize_code()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid')",42
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'list_functions()_valid')",42
"('check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid', 'check_pattern(null_deref)_valid')",41
"('list_functions()_valid', 'check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid')",41
"('list_variables()_valid', 'list_variables()_valid', 'check_pattern(use_after_free)_valid')",41
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'list_functions()_valid')",41
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",41
"('list_functions()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",41
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'list_variables()_valid')",40
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'list_freed_variables()_valid')",39
"('list_freed_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_functions()_valid')",39
"('summarize_code()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",39
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",39
"('list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",39
"('list_variables()_valid', 'summarize_code()_valid', 'check_pattern(buffer_overflow)_valid')",38
"('check_pattern(buffer_overflow)_valid', 'list_functions()_valid', 'list_variables()_valid')",38
"('check_pattern(use_after_free)_valid', 'list_freed_variables()_valid', 'list_functions()_valid')",37
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'list_null_assigned_variables()_valid')",37
"('check_pattern(use_after_free)_valid', 'list_functions()_valid', 'check_pattern(null_deref)_valid')",37
"('summarize_code()_valid', 'list_freed_variables()_valid', 'check_pattern(use_after_free)_valid')",37
"('summarize_code()_valid', 'list_functions()_valid', 'check_pattern(null_deref)_valid')",37
"('list_variables()_valid', 'summarize_code()_valid', 'list_variables()_valid')",36
"('summarize_code()_valid', 'list_null_assigned_variables()_valid', 'list_freed_variables()_valid')",36
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'list_null_assigned_variables()_valid')",35
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid')",35
"('check_pattern(null_deref)_valid', 'list_variables()_valid', 'list_functions()_valid')",35
"('list_freed_variables()_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",34
"('summarize_code()_valid', 'check_pattern(null_deref)_valid', 'list_null_assigned_variables()_valid')",34
"('check_pattern(null_deref)_valid', 'summarize_code()_valid', 'list_functions()_valid')",34
"('list_freed_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid')",34
"('summarize_code()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",34
"('list_functions()_valid', 'summarize_code()_valid', 'check_pattern(buffer_overflow)_valid')",34
"('check_pattern(buffer_overflow)_valid', 'list_functions()_valid', 'list_freed_variables()_valid')",33
"('list_freed_variables()_valid', 'list_null_assigned_variables()_valid', 'list_functions()_valid')",33
"('summarize_code()_valid', 'list_freed_variables()_valid', 'list_null_assigned_variables()_valid')",33
"('check_pattern(null_deref)_valid', 'summarize_code()_valid', 'list_freed_variables()_valid')",33
"('summarize_code()_valid', 'check_pattern(null_deref)_valid', 'list_freed_variables()_valid')",33
"('list_variables()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(buffer_overflow)_valid')",33
"('list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",32
"('list_variables()_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",32
"('list_variables()_valid', 'list_variables()_valid', 'check_pattern(null_deref)_valid')",32
"('summarize_code()_valid', 'list_freed_variables()_valid', 'check_pattern(null_deref)_valid')",31
"('list_variables()_valid', 'list_variables()_valid', 'summarize_code()_valid')",31
"('list_variables()_valid', 'check_pattern(use_after_free)_valid', 'summarize_code()_valid')",31
"('list_variables()_valid', 'summarize_code()_valid', 'check_pattern(use_after_free)_valid')",31
"('check_pattern(null_deref)_valid', 'summarize_code()_valid', 'list_variables()_valid')",30
"('list_freed_variables()_valid', 'summarize_code()_valid', 'list_null_assigned_variables()_valid')",30
"('list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid')",29
"('list_functions()_valid', 'list_freed_variables()_valid', 'summarize_code()_valid')",29
"('summarize_code()_valid', 'check_pattern(use_after_free)_valid', 'list_functions()_valid')",29
"('check_pattern(null_deref)_valid', 'list_variables()_valid', 'summarize_code()_valid')",29
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'list_functions()_valid')",29
"('summarize_code()_valid', 'check_pattern(null_deref)_valid', 'list_functions()_valid')",29
"('summarize_code()_valid', 'check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid')",28
"('list_freed_variables()_valid', 'list_functions()_valid', 'check_pattern(buffer_overflow)_valid')",28
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'list_functions()_valid')",27
"('list_variables()_valid', 'summarize_code()_valid', 'list_freed_variables()_valid')",27
"('list_functions()_valid', 'check_pattern(null_deref)_valid', 'list_freed_variables()_valid')",27
"('check_pattern(use_after_free)_valid', 'list_functions()_valid', 'list_freed_variables()_valid')",27
"('list_functions()_valid', 'check_pattern(buffer_overflow)_valid', 'summarize_code()_valid')",27
"('check_pattern(use_after_free)_valid', 'list_functions()_valid', 'summarize_code()_valid')",27
"('summarize_code()_valid', 'list_functions()_valid', 'list_variables()_valid')",26
"('check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid', 'list_null_assigned_variables()_valid')",26
"('list_functions()_valid', 'check_pattern(use_after_free)_valid', 'summarize_code()_valid')",26
"('list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid')",26
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'list_null_assigned_variables()_valid')",25
"('check_pattern(null_deref)_valid', 'list_functions()_valid', 'list_freed_variables()_valid')",25
"('check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid')",25
"('list_functions()_valid', 'check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid')",24
"('list_freed_variables()_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",24
"('check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid', 'check_pattern(null_deref)_valid')",24
"('check_pattern(use_after_free)_valid', 'list_variables()_valid', 'summarize_code()_valid')",24
"('summarize_code()_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",24
"('check_pattern(null_deref)_valid', 'list_functions()_valid', 'summarize_code()_valid')",23
"('summarize_code()_valid', 'check_pattern(use_after_free)_valid', 'list_variables()_valid')",23
"('list_variables()_valid', 'list_freed_variables()_valid', 'summarize_code()_valid')",23
"('summarize_code()_valid', 'list_functions()_valid', 'list_freed_variables()_valid')",23
"('check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",22
"('list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_freed_variables()_valid')",22
"('check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid', 'summarize_code()_valid')",22
"('check_pattern(buffer_overflow)_valid', 'list_functions()_valid', 'check_pattern(buffer_overflow)_valid')",22
"('list_variables()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid')",22
"('list_null_assigned_variables()_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",22
"('list_null_assigned_variables()_valid', 'summarize_code()_valid', 'check_pattern(use_after_free)_valid')",22
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'list_null_assigned_variables()_valid')",22
"('list_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid')",22
"('list_variables()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(null_deref)_valid')",21
"('list_null_assigned_variables()_valid', 'list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid')",21
"('list_functions()_valid', 'summarize_code()_valid', 'check_pattern(use_after_free)_valid')",21
"('list_null_assigned_variables()_valid', 'summarize_code()_valid', 'list_freed_variables()_valid')",21
"('check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid', 'list_freed_variables()_valid')",20
"('list_functions()_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",20
"('check_pattern(null_deref)_valid', 'summarize_code()_valid', 'list_null_assigned_variables()_valid')",20
"('list_functions()_valid', 'check_pattern(use_after_free)_valid', 'list_freed_variables()_valid')",20
"('list_freed_variables()_valid', 'list_functions()_valid', 'check_pattern(null_deref)_valid')",20
"('list_functions()_valid', 'summarize_code()_valid', 'list_variables()_valid')",19
"('summarize_code()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",18
"('summarize_code()_valid', 'list_functions()_valid', 'check_pattern(buffer_overflow)_valid')",18
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'list_null_assigned_variables()_valid')",18
"('list_null_assigned_variables()_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",18
"('summarize_code()_valid', 'check_pattern(use_after_free)_valid', 'list_freed_variables()_valid')",18
"('list_functions()_valid', 'list_variables()_valid', 'list_null_assigned_variables()_valid')",18
"('list_functions()_valid', 'list_variables()_valid', 'list_freed_variables()_valid')",18
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid')",18
"('check_pattern(use_after_free)_valid', 'list_variables()_valid', 'check_pattern(buffer_overflow)_valid')",17
"('list_freed_variables()_valid', 'list_null_assigned_variables()_valid', 'summarize_code()_valid')",17
"('list_functions()_valid', 'list_variables()_valid', 'summarize_code()_valid')",17
"('summarize_code()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid')",17
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(buffer_overflow)_valid')",17
"('list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(buffer_overflow)_valid')",17
"('check_pattern(use_after_free)_valid', 'list_variables()_valid', 'list_null_assigned_variables()_valid')",17
"('check_pattern(null_deref)_valid', 'list_freed_variables()_valid', 'summarize_code()_valid')",17
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'summarize_code()_valid')",17
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'list_freed_variables()_valid')",17
"('list_functions()_valid', 'list_freed_variables()_valid', 'check_pattern(null_deref)_valid')",17
"('summarize_code()_valid', 'list_variables()_valid', 'list_null_assigned_variables()_valid')",17
"('summarize_code()_valid', 'check_pattern(buffer_overflow)_valid', 'list_functions()_valid')",17
"('list_variables()_valid', 'summarize_code()_valid', 'list_null_assigned_variables()_valid')",16
"('check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid')",16
"('list_variables()_valid', 'list_freed_variables()_valid', 'list_variables()_valid')",16
"('list_functions()_valid', 'list_variables()_valid', 'check_pattern(null_deref)_valid')",16
"('list_freed_variables()_valid', 'list_variables()_valid', 'list_functions()_valid')",15
"('summarize_code()_valid', 'list_freed_variables()_valid', 'list_functions()_valid')",15
"('summarize_code()_valid', 'check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid')",15
"('list_freed_variables()_valid', 'summarize_code()_valid', 'check_pattern(use_after_free)_valid')",14
"('check_pattern(use_after_free)_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",14
"('list_functions()_valid', 'list_freed_variables()_valid', 'check_pattern(use_after_free)_valid')",14
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid')",14
"('check_pattern(null_deref)_valid', 'list_freed_variables()_valid', 'list_variables()_valid')",14
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'check_pattern(buffer_overflow)_valid')",14
"('check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid')",14
"('list_functions()_valid', 'summarize_code()_valid', 'list_freed_variables()_valid')",14
"('list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid', 'summarize_code()_valid')",14
"('check_pattern(use_after_free)_valid', 'list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid')",13
"('list_variables()_valid', 'list_null_assigned_variables()_valid', 'list_freed_variables()_valid')",13
"('check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid', 'list_functions()_valid')",13
"('check_pattern(null_deref)_valid', 'list_variables()_valid', 'list_null_assigned_variables()_valid')",13
"('list_null_assigned_variables()_valid', 'summarize_code()_valid', 'check_pattern(buffer_overflow)_valid')",13
"('list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid')",13
"('list_freed_variables()_valid', 'check_pattern(use_after_free)_valid', 'summarize_code()_valid')",13
"('list_variables()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid')",12
"('list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_functions()_valid')",12
"('list_null_assigned_variables()_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",12
"('check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",12
"('list_functions()_valid', 'check_pattern(null_deref)_valid', 'list_variables()_valid')",12
"('check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid', 'list_variables()_valid')",11
"('check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid')",11
"('list_null_assigned_variables()_valid', 'list_functions()_valid', 'check_pattern(null_deref)_valid')",11
"('list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'summarize_code()_valid')",11
"('list_functions()_valid', 'list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid')",11
"('check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid', 'summarize_code()_valid')",11
"('check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid', 'summarize_code()_valid')",11
"('list_freed_variables()_valid', 'list_variables()_valid', 'list_null_assigned_variables()_valid')",11
"('check_pattern(null_deref)_valid', 'list_variables()_valid', 'check_pattern(buffer_overflow)_valid')",10
"('list_freed_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_variables()_valid')",10
